CUISINE_TYPE,RECIPE_ID
italian,569792
mediterranean,621771
european,621771
italian,621771
american,518918
mediterranean,624428
european,624428
italian,624428
asian,472445
indian,472445
mexican,147378
mediterranean,154196
european,154196
italian,154196
american,286588
southern,300212
southern,739971
mexican,812478
greek,610659
mediterranean,610659
european,610659
american,579175
asian,619902
indian,619902
asian,201843
thai,201843
cajun,630778
creol,630778
american,64025
mexican,491654
southern,497307
american,568031
mediterranean,381474
european,381474
italian,381474
south american,610813
latin american,610813
mexican,546525
mexican,536496
mediterranean,505049
european,505049
italian,505049
american,249072
american,626105
mexican,811935
asian,588404
indian,588404
chines,522418
asian,522418
mediterranean,511993
european,511993
italian,511993
asian,23315
thai,23315
american,680150
mediterranean,513458
european,513458
french,513458
european,499482
irish,499482
american,527126
european,580270
eastern european,580270
american,682975
southern,476413
asian,548309
indian,548309
southern,13114
american,528137
american,216264
european,129655
english,129655
british,129655
scottish,129655
american,612514
mediterranean,689938
european,689938
italian,689938
scandinavian,4899
european,4899
nordic,4899
mediterranean,611799
european,611799
italian,611799
mediterranean,285452
european,285452
french,285452
american,508194
mediterranean,618649
european,618649
italian,618649
american,517217
middl eastern,506297
american,620581
greek,592086
mediterranean,592086
european,592086
american,747074
mexican,609712
middl eastern,721804
asian,759001
indian,759001
american,732879
mediterranean,743645
european,743645
italian,743645
mediterranean,36273
european,36273
italian,36273
mediterranean,18494
european,18494
italian,18494
american,597021
american,63815
asian,512596
indian,512596
american,628182
american,506813
mediterranean,184429
european,184429
italian,184429
mediterranean,556121
european,556121
italian,556121
jewish,537504
mexican,625349
asian,589591
vietnames,589591
mediterranean,586938
european,586938
italian,586938
american,519467
asian,729016
thai,729016
mediterranean,752684
european,752684
italian,752684
mediterranean,27390
european,27390
italian,27390
mediterranean,549874
european,549874
italian,549874
greek,595200
mediterranean,595200
european,595200
cajun,736320
creol,736320
mediterranean,247477
european,247477
italian,247477
mexican,248986
asian,798347
thai,798347
mediterranean,385104
european,385104
italian,385104
mediterranean,534534
european,534534
italian,534534
mediterranean,222399
european,222399
italian,222399
mediterranean,506900
european,506900
french,506900
mexican,712716
chines,206388
asian,206388
mediterranean,482820
european,482820
italian,482820
cajun,61764
creol,61764
american,558417
mediterranean,527200
european,527200
italian,527200
chines,602626
asian,602626
mediterranean,597053
european,597053
italian,597053
german,211117
european,211117
european,586498
